,Frame,Head_X,Head_Y,Chest_X,Chest_Y,Shoulder_R_X,Shoulder_R_Y,Elbow_R_X,Elbow_R_Y,Wrist_R_X,Wrist_R_Y,Shoulder_L_X,Shoulder_L_Y,Elbow_L_X,Elbow_L_Y,Wrist_L_X,Wrist_L_Y,Groin_X,Groin_Y,Hip_R_X,Hip_R_Y,Knee_R_X,Knee_R_Y,Ankle_R_X,Ankle_R_Y,Hip_L_X,Hip_L_Y,Knee_L_X,Knee_L_Y,Ankle_L_X,Ankle_L_Y,Eye_R_X,Eye_R_Y,Eye_L_X,Eye_L_Y,Ear_R_X,Ear_R_Y,Ear_L_X,Ear_L_Y,Ses_L_X,Ses_L_Y,Toes_L_X,Tose_L_Y,Heel_L_X,Heel_L_Y,Ses_R_X,Ses_R_Y,Toes_R_X,Tose_R_Y,Heel_R_X,Heel_R_Y,0_X,0_Y,1_X,1_Y,2_X,2_Y,3_X,3_Y,4_X,4_Y,5_X,5_Y,6_X,6_Y,7_X,7_Y,8_X,8_Y,Mid_knuckle_X,Mid_knuckle_Y,10_X,10_Y,11_X,11_Y,Mid_fing_X,Mid_fing_Y,13_X,13_Y,14_X,14_Y,15_X,15_Y,16_X,16_Y,17_X,17_Y,18_X,18_Y,19_X,19_Y,20_X,20_Y
20,20,178.506,148.876,163.63,190.131,165.328,190.135,229.673,178.55,219.793,135.673,158.766,190.03,227.966,178.615,219.758,138.934,148.842,310.452,148.811,312.09,152.145,417.561,117.561,526.37,148.87,310.411,153.806,415.971,117.554,521.419,168.678,142.3,0.0,0.0,152.105,152.252,0,0,140.663,557.698,0.0,0.0,97.8233,532.907,147.218,559.292,135.683,559.278,106.018,534.581,226.607,131.837,218.452,130.158,206.46,127.999,196.147,126.32,188.472,124.162,193.029,128.239,194.468,134.955,186.313,129.198,183.435,127.04,190.63,133.516,188.472,133.755,188.232,133.755,187.272,135.434,192.069,135.674,188.472,134.235,187.992,132.796,191.59,135.914,193.268,135.914,196.626,136.394,194.228,136.394,193.508,135.914
21,21,178.561,138.974,165.309,180.24,163.736,180.234,229.616,163.651,232.986,111.015,171.929,178.546,223.053,165.321,232.934,114.281,148.812,307.092,143.948,308.745,150.443,412.642,124.096,521.488,150.518,305.453,147.231,412.58,124.107,516.469,171.915,137.289,0.0,0.0,152.158,150.47,0,0,143.93,557.68,143.957,547.818,101.058,529.693,150.458,559.292,138.951,557.721,110.946,532.937,239.83,111.09,229.861,82.9287,222.883,98.3802,213.164,104.86,243.07,120.311,233.849,70.4679,240.577,106.355,219.145,99.3771,235.593,72.96,234.098,70.4679,222.634,105.607,207.432,101.122,198.211,100.125,239.581,114.081,223.88,108.349,221.886,110.093,200.204,100.125,232.852,112.586,228.615,105.109,223.88,110.592,224.628,111.09
22,22,178.603,137.286,165.388,178.468,163.659,176.949,218.118,150.5,246.124,99.4048,175.216,176.861,218.127,152.19,242.884,101.061,150.484,302.186,142.253,305.439,142.284,407.686,124.179,521.39,158.734,302.154,152.153,409.316,124.194,516.486,173.554,132.403,0.0,0.0,152.252,143.891,0,0,147.235,559.279,147.253,547.822,102.73,527.987,150.469,559.304,138.953,557.69,110.987,529.686,224.966,82.7808,229.716,90.6184,233.753,97.031,248.241,62.3555,235.178,59.743,248.716,100.356,237.553,75.1807,247.529,64.7306,245.391,58.793,248.716,89.4309,241.591,77.7932,237.316,75.8932,247.291,58.793,251.566,90.3809,242.541,79.6933,244.441,81.8308,233.991,73.9932,252.754,88.4809,247.291,58.793,232.091,74.2307,234.703,74.9432
23,23,178.619,135.658,165.395,176.822,163.658,175.217,218.078,137.32,254.359,97.6806,175.202,173.571,216.406,139.006,0.0,0.0,150.516,300.517,145.542,302.168,142.255,406.032,125.793,519.762,158.762,298.907,152.151,407.67,125.75,513.184,173.603,130.716,0.0,0.0,153.827,140.611,0,0,150.471,559.284,150.477,547.835,106.002,523.083,150.509,559.27,139.028,556.068,112.619,526.365,263.899,54.4335,261.953,55.1633,238.355,71.9493,245.896,58.5692,242.247,57.1095,247.843,59.0557,249.302,87.519,257.574,87.7623,257.33,94.8173,249.789,74.1388,249.789,85.3295,257.33,75.1119,257.817,94.3307,249.789,77.0581,248.816,84.843,258.79,83.3833,257.574,94.8173,249.789,77.3014,248.086,86.5459,259.033,85.3295,257.33,94.8173
24,24,178.631,132.377,167.0,176.819,160.43,175.234,213.131,137.332,252.748,96.1275,178.503,171.964,206.586,140.634,0.0,0.0,150.568,302.197,140.64,305.452,135.663,407.683,127.424,519.791,162.068,302.164,152.217,410.999,124.189,516.495,175.177,127.468,0.0,0.0,153.859,139.002,0,0,148.859,557.713,150.464,549.447,109.265,524.752,150.561,559.271,140.625,557.656,114.259,528.044,288.444,83.0062,287.968,79.6723,285.349,76.1003,296.779,83.4825,299.399,85.1495,272.489,77.7672,269.87,75.8621,257.01,79.4342,300.828,86.8164,271.775,78.0054,259.154,72.0519,254.867,85.1495,255.343,86.102,262.011,71.8138,259.392,71.8138,256.296,85.6258,253.914,85.1495,267.726,68.0036,268.441,66.3366,253.676,77.7672,253.438,85.1495
25,25,180.186,134.059,166.987,176.883,160.372,176.87,216.478,137.388,254.372,101.105,178.505,173.61,216.427,138.986,244.501,107.631,152.124,302.188,142.264,305.444,139.004,410.953,127.41,521.379,163.643,300.555,152.206,410.985,127.43,514.824,175.222,130.707,176.949,125.814,155.453,139.066,0,0,148.859,559.286,150.467,549.442,109.297,523.109,150.568,559.308,140.608,557.716,114.223,528.037,249.511,83.5942,249.511,87.1177,251.776,90.6412,259.83,103.98,256.054,112.034,282.984,94.4164,263.353,106.245,261.591,104.232,256.558,112.789,277.951,95.9264,271.91,86.3626,270.652,95.1714,264.108,108.007,276.189,103.728,267.883,92.9063,268.387,93.6613,279.461,104.232,252.279,76.0438,252.028,77.3022,261.34,104.735,277.951,104.483
26,26,181.855,138.903,168.632,178.587,160.385,178.566,214.766,150.482,254.401,110.95,178.586,176.943,214.829,150.556,244.494,112.561,150.56,308.721,140.679,308.771,143.917,412.643,125.733,521.447,162.047,307.116,150.532,412.619,125.751,516.483,176.841,137.237,178.576,129.104,155.453,143.933,0,0,145.552,559.297,147.222,549.459,105.986,524.703,150.504,559.366,138.966,559.318,112.549,529.68,262.004,94.9384,251.964,97.6765,251.964,96.992,259.494,112.052,255.387,118.669,276.379,75.7716,278.661,91.0594,279.345,96.5356,280.943,99.9583,271.816,78.7379,272.956,87.6368,273.641,99.0456,270.447,105.206,265.655,76.6843,266.568,89.0058,268.165,95.3948,267.024,101.556,254.474,82.3887,255.615,78.7379,266.796,92.8848,267.937,93.7975
27,27,181.811,140.636,166.992,188.448,155.5,188.436,213.156,155.488,254.36,110.96,178.578,185.143,216.436,158.754,255.949,122.445,150.473,316.994,140.621,318.662,140.655,420.888,120.849,526.396,158.773,315.363,150.494,419.219,122.503,521.463,176.832,138.928,178.542,137.35,155.458,150.458,0,0,140.64,557.702,0.0,0.0,99.4249,533.023,150.454,559.341,137.349,559.34,109.246,534.664,252.626,82.9115,280.322,71.5362,257.819,92.0612,258.066,93.2976,249.411,101.953,262.023,77.7185,258.066,92.0612,286.505,101.211,286.505,105.909,264.99,84.8898,271.667,97.2543,281.064,100.716,284.774,105.167,263.259,105.167,272.904,95.2759,278.839,99.9744,282.301,101.211,264.249,106.899,282.795,93.2976,264.99,113.575,280.322,100.964
28,28,185.111,150.436,165.399,191.719,155.473,191.69,213.133,163.694,255.988,122.439,178.495,190.12,216.417,163.687,252.725,124.154,150.487,323.601,139.027,325.241,140.616,432.384,112.54,532.935,160.396,323.58,152.145,430.765,114.292,526.354,176.893,143.937,180.173,139.077,155.441,153.786,0,0,140.651,557.703,0.0,0.0,97.7462,534.639,148.86,559.341,137.282,559.403,99.4184,539.548,267.463,102.036,259.704,100.339,293.165,102.036,293.892,100.339,298.742,107.37,271.1,110.038,286.861,101.309,293.65,102.036,298.984,107.37,275.465,112.462,264.554,126.768,266.493,129.435,292.438,106.885,265.281,101.066,262.614,125.071,265.039,129.193,259.462,134.527,268.676,112.462,257.764,133.072,259.219,132.83,259.219,133.557
29,29,185.142,152.167,165.365,193.409,157.084,193.352,216.485,165.341,257.612,117.538,176.866,193.369,219.782,165.391,257.71,129.066,140.627,333.464,143.938,333.51,148.864,437.363,110.989,534.601,137.328,333.484,137.257,435.71,112.598,532.921,176.927,150.441,180.249,147.186,155.458,157.113,0,0,142.276,559.299,0.0,0.0,89.569,544.527,150.505,559.392,138.968,560.998,97.8107,546.088,259.103,127.209,256.019,116.414,255.247,114.614,267.071,127.98,292.518,110.759,279.152,112.815,288.662,105.104,295.088,106.389,299.972,110.502,276.068,106.903,284.55,104.59,288.662,106.903,292.518,112.558,263.987,106.903,278.381,102.791,282.751,105.104,285.835,110.245,263.473,104.333,272.212,99.7063,273.497,94.8225,281.979,105.104
